VPC,ictv_family,count
VPC-104000,Podoviridae,8
VPC-106288,NULL,7
VPC-106288,Siphoviridae,1
VPC-106774,NULL,1
VPC-106774,Siphoviridae,7
VPC-107581,Siphoviridae,8
VPC-1085,Myoviridae,1
VPC-1085,NULL,248
VPC-1085,Siphoviridae,1263
VPC-109138,Siphoviridae,8
VPC-110082,NULL,1
VPC-110082,Siphoviridae,7
VPC-11126,NULL,29
VPC-11126,Podoviridae,156
VPC-113667,Siphoviridae,7
VPC-113773,Siphoviridae,7
VPC-11579,Siphoviridae,177
VPC-119026,NULL,6
VPC-119026,Podoviridae,1
VPC-119215,Myoviridae,4
VPC-119215,NULL,3
VPC-120346,NULL,1
VPC-120346,Siphoviridae,6
VPC-12117,Podoviridae,168
VPC-12281,NULL,2
VPC-12281,Podoviridae,164
VPC-123499,NULL,4
VPC-123499,Siphoviridae,2
VPC-124330,Podoviridae,6
VPC-12564,NULL,1
VPC-12564,Siphoviridae,160
VPC-12894,NULL,103
VPC-12894,Siphoviridae,54
VPC-130964,Siphoviridae,6
VPC-132080,NULL,5
VPC-132080,Podoviridae,1
VPC-1350,Podoviridae,1326
VPC-135833,NULL,5
VPC-137500,NULL,5
VPC-1427,NULL,122
VPC-1427,Podoviridae,1153
VPC-142847,NULL,3
VPC-142847,Siphoviridae,2
VPC-143208,NULL,2
VPC-143208,Siphoviridae,3
VPC-145667,NULL,5
VPC-146406,NULL,2
VPC-146406,Podoviridae,3
VPC-152118,Siphoviridae,4
VPC-155941,Siphoviridae,4
VPC-162222,NULL,2
VPC-162222,Siphoviridae,2
VPC-16287,Myoviridae,1
VPC-16287,NULL,6
VPC-16287,Siphoviridae,113
VPC-164228,Siphoviridae,4
VPC-167347,Podoviridae,4
VPC-169855,Myoviridae,1
VPC-169855,NULL,3
VPC-171164,Siphoviridae,4
VPC-172022,NULL,1
VPC-172022,Podoviridae,3
VPC-174920,Siphoviridae,3
VPC-175375,NULL,3
VPC-175599,NULL,1
VPC-175599,Podoviridae,2
VPC-177267,Podoviridae,3
VPC-177424,Podoviridae,3
VPC-179470,NULL,3
VPC-179863,Siphoviridae,3
VPC-1834,NULL,88
VPC-1834,Siphoviridae,984
VPC-184385,Siphoviridae,3
VPC-190742,NULL,1
VPC-190742,Siphoviridae,2
VPC-192445,Siphoviridae,3
VPC-19280,NULL,94
VPC-19280,Podoviridae,2
VPC-196828,Podoviridae,3
VPC-197462,NULL,3
VPC-198882,NULL,3
VPC-201047,NULL,2
VPC-201047,Siphoviridae,1
VPC-203805,NULL,1
VPC-203805,Podoviridae,2
VPC-204132,NULL,1
VPC-204132,Podoviridae,2
VPC-20461,NULL,49
VPC-20461,Siphoviridae,41
VPC-21121,Podoviridae,87
VPC-212537,Podoviridae,2
VPC-214455,NULL,2
VPC-217655,Siphoviridae,2
VPC-217765,Siphoviridae,2
VPC-2197,Myoviridae,521
VPC-2197,NULL,400
VPC-222607,Siphoviridae,2
VPC-223567,NULL,2
VPC-22476,Podoviridae,80
VPC-228705,Siphoviridae,2
VPC-23150,NULL,11
VPC-23150,Podoviridae,65
VPC-23150,Siphoviridae,2
VPC-23689,Myoviridae,1
VPC-23689,NULL,67
VPC-23689,Siphoviridae,7
VPC-239080,Siphoviridae,2
VPC-23922,NULL,5
VPC-23922,Podoviridae,69
VPC-239521,Siphoviridae,2
VPC-240203,Podoviridae,2
VPC-245827,Podoviridae,2
VPC-24793,Myoviridae,4
VPC-24793,NULL,10
VPC-24793,Siphoviridae,57
VPC-248608,Siphoviridae,2
VPC-251610,Siphoviridae,2
VPC-25300,NULL,1
VPC-25300,Siphoviridae,68
VPC-2575,Myoviridae,65
VPC-2575,NULL,194
VPC-2575,Siphoviridae,523
VPC-2575,crAss-phage,2
VPC-262430,NULL,2
VPC-263167,Siphoviridae,2
VPC-267733,NULL,2
VPC-270039,Podoviridae,2
VPC-270336,NULL,2
VPC-273593,NULL,1
VPC-273593,Podoviridae,1
VPC-285790,Podoviridae,1
VPC-286380,Siphoviridae,1
VPC-288745,Podoviridae,1
VPC-289323,Siphoviridae,1
VPC-291708,Myoviridae,1
VPC-293836,NULL,1
VPC-295011,Siphoviridae,1
VPC-296660,Podoviridae,1
VPC-296937,Siphoviridae,1
VPC-302767,NULL,1
VPC-3033,NULL,14
VPC-3033,Siphoviridae,669
VPC-30885,NULL,31
VPC-30885,Siphoviridae,22
VPC-309017,Siphoviridae,1
VPC-30977,NULL,20
VPC-30977,Siphoviridae,33
VPC-31132,Myoviridae,12
VPC-31132,NULL,38
VPC-31132,Siphoviridae,2
VPC-315018,Podoviridae,1
VPC-315335,Podoviridae,1
VPC-318202,Podoviridae,1
VPC-321042,Podoviridae,1
VPC-3264,NULL,223
VPC-3264,Podoviridae,416
VPC-3264,Siphoviridae,1
VPC-3280,Myoviridae,3
VPC-3280,NULL,294
VPC-3280,Siphoviridae,339
VPC-336496,NULL,1
VPC-33708,NULL,47
VPC-338988,Siphoviridae,1
VPC-34,NULL,167
VPC-34,Papillomaviridae,1
VPC-34,Podoviridae,5296
VPC-341204,NULL,1
VPC-342862,Siphoviridae,1
VPC-343766,NULL,1
VPC-344916,Podoviridae,1
VPC-346906,NULL,1
VPC-351116,Podoviridae,1
VPC-35468,Myoviridae,10
VPC-35468,NULL,33
VPC-356180,Podoviridae,1
VPC-36260,NULL,28
VPC-36260,Podoviridae,14
VPC-372018,NULL,1
VPC-3734,NULL,77
VPC-3734,Siphoviridae,481
VPC-374744,Podoviridae,1
VPC-386433,NULL,1
VPC-389376,Podoviridae,1
VPC-392331,Podoviridae,1
VPC-393089,Siphoviridae,1
VPC-39886,NULL,21
VPC-39886,Podoviridae,16
VPC-400410,NULL,1
VPC-412844,Podoviridae,1
VPC-41441,Siphoviridae,35
VPC-417285,Siphoviridae,1
VPC-41978,NULL,21
VPC-41978,Siphoviridae,12
VPC-41978,crAss-phage,1
VPC-419929,NULL,1
VPC-420104,Siphoviridae,1
VPC-420417,Podoviridae,1
VPC-429593,NULL,1
VPC-444698,Siphoviridae,1
VPC-449292,Podoviridae,1
VPC-450403,Podoviridae,1
VPC-453091,NULL,1
VPC-455206,Siphoviridae,1
VPC-456140,Siphoviridae,1
VPC-48542,Siphoviridae,28
VPC-48868,Podoviridae,27
VPC-51246,Podoviridae,25
VPC-53577,NULL,24
VPC-57389,NULL,5
VPC-57389,Siphoviridae,16
VPC-58305,NULL,1
VPC-58305,Siphoviridae,20
VPC-61983,NULL,18
VPC-61983,Siphoviridae,1
VPC-65889,NULL,2
VPC-65889,Podoviridae,15
VPC-66203,NULL,1
VPC-66203,Podoviridae,16
VPC-66648,Podoviridae,17
VPC-7236,NULL,297
VPC-7236,Podoviridae,3
VPC-73954,NULL,1
VPC-73954,Siphoviridae,14
VPC-74481,NULL,12
VPC-74481,Siphoviridae,2
VPC-77833,Siphoviridae,13
VPC-78215,Siphoviridae,13
VPC-7830,NULL,261
VPC-7830,Siphoviridae,15
VPC-79484,NULL,3
VPC-79484,Siphoviridae,10
VPC-81270,Myoviridae,1
VPC-81270,NULL,12
VPC-82161,Siphoviridae,12
VPC-83348,Siphoviridae,12
VPC-84603,NULL,2
VPC-84603,Podoviridae,10
VPC-8627,Myoviridae,16
VPC-8627,NULL,74
VPC-8627,Siphoviridae,158
VPC-8650,NULL,19
VPC-8650,Siphoviridae,228
VPC-89868,Siphoviridae,11
VPC-90003,NULL,3
VPC-90003,Podoviridae,8
VPC-94914,NULL,9
VPC-94914,Siphoviridae,1
VPC-9555,Podoviridae,219
VPC-9568,Myoviridae,1
VPC-9568,NULL,207
VPC-9568,Siphoviridae,11
VPC-99060,Myoviridae,8
VPC-99060,Siphoviridae,1
G20C, nan
GTA-particle,nan
HK97-like, Siphoviridae 
P22, Podoviridae 
P23-45, Siphoviridae
SPP1, Siphoviridae 
epstein-barr-virus, Herpesviridae 
herpes-simplex-virus1, Herpesviridae 
karposis-sarcoma-associated-herpesvirus, Herpesviridae 
p68, Podoviridae
phi29, Podoviridae 
phi29-1jnb, Podoviridae
T7, Podoviridae 